"county","value","date"
"Dallas",0,2020-03-04
"Dallas",0,2020-03-05
"Dallas",0,2020-03-06
"Dallas",0,2020-03-09
"Dallas",0,2020-03-10
"Dallas",2,2020-03-11
"Dallas",3,2020-03-12
"Dallas",3,2020-03-13
"Dallas",8,2020-03-15
"Dallas",8,2020-03-16
"Dallas",9,2020-03-17
"Dallas",15,2020-03-18
"Dallas",20,2020-03-19
"Dallas",22,2020-03-20
"Dallas",30,2020-03-21
"Dallas",30,2020-03-22
"Dallas",33,2020-03-23
"Dallas",131,2020-03-24
"Dallas",169,2020-03-25
"Dallas",303,2020-03-26
"Dallas",367,2020-03-27
"Dallas",367,2020-03-28
"Dallas",439,2020-03-29
"Dallas",488,2020-03-30
"Dallas",549,2020-03-31
"Dallas",631,2020-04-01
"Dallas",731,2020-04-02
"Dallas",831,2020-04-03
"Dallas",921,2020-04-04
"Dallas",1015,2020-04-05
"Dallas",1112,2020-04-06
"Dallas",1155,2020-04-07
"Dallas",1261,2020-04-08
"Dallas",1324,2020-04-09
"Dallas",1432,2020-04-10
"Dallas",1537,2020-04-11
"Dallas",1644,2020-04-12
"Dallas",1723,2020-04-13
"Dallas",1788,2020-04-14
"Dallas",1877,2020-04-15
"Dallas",1986,2020-04-16
"Dallas",2066,2020-04-17
"Dallas",2190,2020-04-18
"Dallas",2324,2020-04-19
"Dallas",2428,2020-04-20
"Dallas",2512,2020-04-21
"Dallas",2602,2020-04-22
"Dallas",2683,2020-04-23
"Dallas",2763,2020-04-24
"Dallas",2834,2020-04-25
"Dallas",2909,2020-04-26
"Dallas",3014,2020-04-27
"Dallas",3105,2020-04-28
"Dallas",3240,2020-04-29
"Dallas",3352,2020-04-30
"Dallas",3531,2020-05-01
"Dallas",3718,2020-05-02
"Dallas",3899,2020-05-03
"Dallas",4133,2020-05-04
"Dallas",4370,2020-05-05
"Dallas",4623,2020-05-06
"Dallas",4869,2020-05-07
"Dallas",5120,2020-05-08
"Dallas",5369,2020-05-09
"Dallas",5619,2020-05-10
"Dallas",5870,2020-05-11
"Dallas",6123,2020-05-12
"Dallas",6359,2020-05-13
"Dallas",6602,2020-05-14
"Dallas",6837,2020-05-15
"Dallas",7036,2020-05-16
"Dallas",7250,2020-05-17
"Dallas",7455,2020-05-18
"Dallas",7679,2020-05-19
"Dallas",7904,2020-05-20
"Dallas",7904,2020-05-21
"Dallas",8273,2020-05-22
"Dallas",8477,2020-05-23
"Dallas",8649,2020-05-24
"Dallas",8827,2020-05-25
"Dallas",8998,2020-05-26
"Dallas",9188,2020-05-27
"Dallas",9385,2020-05-28
"Dallas",9587,2020-05-29
"Dallas",9787,2020-05-30
"Dallas",10006,2020-05-31
"Dallas",10234,2020-06-01
"Dallas",10462,2020-06-02
"Dallas",10719,2020-06-03
"Dallas",10958,2020-06-04
"Dallas",11243,2020-06-05
"Dallas",11541,2020-06-06
"Dallas",11830,2020-06-07
"Dallas",12093,2020-06-08
"Dallas",12347,2020-06-09
"Dallas",12645,2020-06-10
"Dallas",12945,2020-06-11
"Dallas",13257,2020-06-12
"Dallas",13585,2020-06-13
"Dallas",13930,2020-06-14
"Dallas",14232,2020-06-15
"Dallas",14537,2020-06-16
"Dallas",14843,2020-06-17
"Dallas",15256,2020-06-18
"Dallas",15648,2020-06-19
"Dallas",16042,2020-06-20
"Dallas",16437,2020-06-21
"Dallas",16845,2020-06-22
"Dallas",17299,2020-06-23
"Dallas",17744,2020-06-24
"Dallas",18135,2020-06-25
"Dallas",18538,2020-06-26
"Dallas",19034,2020-06-27
"Dallas",19595,2020-06-28
"Dallas",20165,2020-06-29
"Dallas",20737,2020-06-30
"Dallas",21338,2020-07-01
"Dallas",21882,2020-07-02
"Dallas",22590,2020-07-03
"Dallas",23675,2020-07-04
"Dallas",24778,2020-07-05
"Dallas",25840,2020-07-06
"Dallas",27054,2020-07-07
"Dallas",28131,2020-07-08
"Dallas",29160,2020-07-09
"Dallas",30361,2020-07-10
"Dallas",31525,2020-07-11
"Dallas",32626,2020-07-12
"Dallas",33800,2020-07-13
"Dallas",34914,2020-07-14
"Dallas",35914,2020-07-15
"Dallas",36969,2020-07-16
"Dallas",37996,2020-07-17
"Dallas",39191,2020-07-18
"Dallas",40222,2020-07-19
"Dallas",41266,2020-07-20
"Dallas",42292,2020-07-21
"Dallas",43026,2020-07-22
"Dallas",43439,2020-07-23
"Dallas",44087,2020-07-24
"Dallas",44746,2020-07-25
"Dallas",46013,2020-07-26
"Dallas",46813,2020-07-27
"Dallas",47239,2020-07-28
"Dallas",48028,2020-07-29
"Dallas",48732,2020-07-30
"Dallas",49269,2020-07-31
"Dallas",49976,2020-08-01
"Dallas",50590,2020-08-02
"Dallas",51108,2020-08-03
"Dallas",51490,2020-08-04
"Dallas",52131,2020-08-05
"Dallas",52639,2020-08-06
"Dallas",52869,2020-08-07
"Dallas",53291,2020-08-08
"Harris",0,2020-03-04
"Harris",0,2020-03-05
"Harris",4,2020-03-06
"Harris",5,2020-03-09
"Harris",5,2020-03-10
"Harris",5,2020-03-11
"Harris",7,2020-03-12
"Harris",7,2020-03-13
"Harris",10,2020-03-15
"Harris",10,2020-03-16
"Harris",10,2020-03-17
"Harris",10,2020-03-18
"Harris",10,2020-03-19
"Harris",24,2020-03-20
"Harris",26,2020-03-21
"Harris",27,2020-03-22
"Harris",27,2020-03-23
"Harris",54,2020-03-24
"Harris",134,2020-03-25
"Harris",185,2020-03-26
"Harris",203,2020-03-27
"Harris",229,2020-03-28
"Harris",445,2020-03-29
"Harris",526,2020-03-30
"Harris",563,2020-03-31
"Harris",680,2020-04-01
"Harris",847,2020-04-02
"Harris",955,2020-04-03
"Harris",1106,2020-04-04
"Harris",1284,2020-04-05
"Harris",1395,2020-04-06
"Harris",1809,2020-04-07
"Harris",2146,2020-04-08
"Harris",2341,2020-04-09
"Harris",3047,2020-04-10
"Harris",3261,2020-04-11
"Harris",3561,2020-04-12
"Harris",3629,2020-04-13
"Harris",3747,2020-04-14
"Harris",3907,2020-04-15
"Harris",4097,2020-04-16
"Harris",4306,2020-04-17
"Harris",4460,2020-04-18
"Harris",4653,2020-04-19
"Harris",4823,2020-04-20
"Harris",4977,2020-04-21
"Harris",5143,2020-04-22
"Harris",5211,2020-04-23
"Harris",5330,2020-04-24
"Harris",5482,2020-04-25
"Harris",5628,2020-04-26
"Harris",5729,2020-04-27
"Harris",5827,2020-04-28
"Harris",5986,2020-04-29
"Harris",6161,2020-04-30
"Harris",6356,2020-05-01
"Harris",6551,2020-05-02
"Harris",6708,2020-05-03
"Harris",6838,2020-05-04
"Harris",6967,2020-05-05
"Harris",7128,2020-05-06
"Harris",7244,2020-05-07
